2019	21310555400017	\N	031	555	TOULOUSE	482738	M14	035	1	21310555400017	\N	00	0	1	001	M14	3	TOULOUSE	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2018	00:00:00	6	\N	\N	\N	\N	\N	\N	\N	\N	076	\N	\N	\N	\N	\N	\N	\N	031035	\N	\N	\N	\N	\N	\N	TOULOUSE	TRESORERIE	076	243100518	MET	FPU	37	O	\N	Aucune strate	\N	2019-10-10 12:20:27.988758
2018	21310555400017	\N	031	555	TOULOUSE	479638	M14	035	1	21310555400017	\N	00	0	1	001	M14	3	TOULOUSE	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2017	00:00:00	6	\N	\N	\N	\N	\N	\N	\N	\N	076	\N	\N	\N	1	1	05/04/2019	05/04/2019	031035	\N	\N	\N	\N	\N	\N	TOULOUSE	TRESORERIE	076	243100518	MET	FPU	37	O	\N	Aucune strate	\N	2019-10-10 12:20:27.988758
2010	21310555400017	\N	031	555	TOULOUSE	446220	M14	035	1	21310555400017	\N	00	0	1	001	M14	4	TOULOUSE	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2009	20:00:00	6	0	0	0	0	0	0	\N	\N	073	\N	\N	\N	1	1	31/05/2011	31/05/2011	031035	\N	\N	\N	\N	\N	\N	TOULOUSE	\N	006	243100518	CU	FMI	25	O	\N	Aucune strate	\N	\N
2009	21310555400017	\N	031	555	TOULOUSE	444392	M14	035	1	21310555400017	\N	00	0	1	001	M14	4	TOULOUSE	1	\N	\N	\N	\N	\N	101	00	40	2002	15/12/2009	11:42:37	6	0	0	0	0	0	0	\N	\N	073	\N	\N	\N	1	1	19/05/2010	19/05/2010	031035	\N	\N	\N	\N	\N	\N	TOULOUSE	\N	006	243100518	CU	FMI	25	\N	\N	Aucune strate	\N	\N
2011	21310555400017	\N	031	555	TOULOUSE	446340	M14	035	1	21310555400017	\N	00	0	1	001	M14	4	TOULOUSE	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2010	20:00:00	6	0	0	0	0	0	0	\N	\N	073	\N	\N	\N	1	1	15/05/2012	15/05/2012	031035	\N	\N	\N	\N	\N	\N	TOULOUSE	\N	006	243100518	CU	FPU	37	O	2013-01-11 11:08:08	Aucune strate	\N	\N
2012	21310555400017	\N	031	555	TOULOUSE	447396	M14	035	1	21310555400017	\N	00	0	1	001	M14	4	TOULOUSE	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2011	20:00:00	6	0	0	0	0	0	0	\N	\N	073	\N	\N	\N	1	1	03/06/2013	03/06/2013	031035	\N	\N	\N	\N	\N	\N	TOULOUSE	\N	006	243100518	CU	FPU	37	O	2014-01-14 17:04:47	Aucune strate	\N	\N
2013	21310555400017	\N	031	555	TOULOUSE	449328	M14	035	1	21310555400017	\N	00	0	1	001	M14	4	TOULOUSE	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2012	20:00:00	6	0	0	0	0	0	0	\N	\N	073	\N	\N	\N	1	1	02/06/2014	02/06/2014	031035	\N	\N	\N	\N	\N	\N	TOULOUSE	\N	006	243100518	CU	FPU	37	O	2015-01-09 08:46:49	Aucune strate	\N	\N
2014	21310555400017	\N	031	555	TOULOUSE	455002	M14	035	1	21310555400017	\N	00	0	1	001	M14	4	TOULOUSE	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2013	20:00:00	6	0	0	0	0	0	0	\N	\N	073	\N	\N	\N	1	1	01/06/2015	01/06/2015	031035	\N	\N	\N	\N	\N	\N	TOULOUSE	\N	006	243100518	CU	FPU	37	O	2016-01-11 19:46:38	Aucune strate	\N	\N
2015	21310555400017	\N	031	555	TOULOUSE	461190	M14	035	1	21310555400017	\N	00	0	1	001	M14	4	TOULOUSE	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2014	20:00:00	6	0	0	0	0	0	0	\N	\N	076	\N	\N	\N	1	1	29/05/2016	29/05/2016	031035	\N	\N	\N	\N	\N	\N	TOULOUSE	\N	006	243100518	MET	FPU	37	O	2017-02-08 20:24:46	Aucune strate	\N	\N
2016	21310555400017	\N	031	555	TOULOUSE	466219	M14	035	1	21310555400017	\N	00	0	1	001	M14	3	TOULOUSE	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2015	00:00:00	6	\N	\N	\N	\N	\N	\N	\N	\N	076	\N	\N	\N	1	1	16/06/2017	16/06/2017	031035	\N	\N	\N	\N	\N	\N	TOULOUSE	\N	076	243100518	MET	FPU	37	O	2018-01-09 14:27:00	Aucune strate	\N	\N
2017	21310555400017	\N	031	555	TOULOUSE	474246	M14	035	1	21310555400017	\N	00	0	1	001	M14	3	TOULOUSE	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2016	00:00:00	6	\N	\N	\N	\N	\N	\N	\N	\N	076	\N	\N	\N	1	1	27/04/2018	27/04/2018	031035	\N	\N	\N	\N	\N	\N	TOULOUSE	\N	076	243100518	MET	FPU	37	O	2019-01-09 17:38:31	Aucune strate	\N	\N
2019	21330318300015	\N	033	318	PESSAC	62737	M14	041	1	21330318300015	\N	00	0	1	160	M14	3	PESSAC	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2018	00:00:00	6	\N	\N	\N	\N	\N	\N	\N	\N	075	\N	\N	\N	\N	\N	\N	\N	033041	\N	\N	\N	\N	\N	\N	MAIRIE	TRESORERIE	076	243300316	MET	FPU	28	O	\N	Aucune strate	\N	2019-10-10 12:20:27.988758
2018	21330318300015	\N	033	318	PESSAC	62260	M14	041	1	21330318300015	\N	00	0	1	160	M14	3	PESSAC	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2017	00:00:00	6	\N	\N	\N	\N	\N	\N	\N	\N	075	\N	\N	\N	1	1	22/02/2019	22/02/2019	033041	\N	\N	\N	\N	\N	\N	MAIRIE	TRESORERIE	076	243300316	MET	FPU	28	O	\N	Aucune strate	\N	2019-10-10 12:20:27.988758
2010	21330318300015	\N	033	318	PESSAC	58727	M14	041	1	21330318300015	\N	00	0	1	160	M14	3	PESSAC	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2009	20:00:00	6	0	0	0	0	0	0	\N	\N	072	\N	\N	\N	1	1	15/03/2011	15/03/2011	033041	\N	\N	\N	\N	\N	\N	MAIRIE	\N	069	243300316	CU	TPU	27	O	\N	Aucune strate	\N	\N
2011	21330318300015	\N	033	318	PESSAC	58540	M14	041	1	21330318300015	\N	00	0	1	160	M14	3	PESSAC	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2010	20:00:00	6	0	0	0	0	0	0	\N	\N	072	\N	\N	\N	1	1	19/03/2012	19/03/2012	033041	\N	\N	\N	\N	\N	\N	MAIRIE	\N	069	243300316	CU	FPU	27	O	2013-01-11 11:08:08	Aucune strate	\N	\N
2009	21330318300015	\N	033	318	PESSAC	58069	M14	041	1	21330318300015	\N	00	0	1	160	M14	3	PESSAC	1	\N	\N	\N	\N	\N	101	00	40	2002	31/12/2008	20:00:00	6	0	0	0	0	0	0	\N	\N	072	\N	\N	\N	1	1	16/03/2010	16/03/2010	033041	\N	\N	\N	\N	\N	\N	MAIRIE	\N	069	243300316	CU	TPU	27	\N	\N	Aucune strate	\N	\N
